Text,Language
Kannst du bitte einen Moment warten?,German
Warte eine Sekunde.,German
ertrage nur einen Moment mit mir.,German
Ich bin gleich bei dir.,German
entschuldige mich. Das tut mir wirklich leid.,German
bitte akzeptiere meine Entschuldigung.,German
Mach dir keine Sorgen.,German
keine Sorge.,German
"Okay, wenn Sie mehr Lektionen über gebräuchliche Sätze und Phrasen wünschen, lassen Sie es mich im Kommentarbereich unten wissen.",German
"Auch wenn Ihnen dieses Video gefallen hat, klicken Sie auf die Schaltfläche ""Gefällt mir"" und denken Sie daran, diesen Kanal zu abonnieren, indem Sie auf die Schaltfläche ""Abonnieren"" klicken, um meine neuesten Lektionen hier auf Youtube zu erhalten.",German
Viel Spaß beim Lernen und wir sehen uns bald in einer weiteren Lektion.,German
"Es war einmal das goldene Brot in einem winzigen Dorf, in dem eine Frau namens Marion lebte.",German
Mit ihrer einzigen Tochter war Narcisa Marion äußerst bescheiden und süß.,German
Narcisa war jedoch genau das Gegenteil.,German
"Sie sehen, sie war unbeschreiblich schön.",German
Sie war wie ein Lebender.,German
"Puppe und der amüsanteste Teil ist, dass sie sich bis zum Äußersten geliebt hat.",German
"Hilf mir, das Brot zu backen, huh, auf keinen Fall, Mama, die Mehlmädchen, all meine hellen und funkelnden Augen.",German
"narcisa, würdest du mir helfen, diese Samen zu pflanzen?",German
Warum sollte ich das tun?,German
Was habe ich den ganzen Schmutz an meinen schönen Fingern?,German
"Schlimmer, wenn es gut auf mein Gesicht ging, war das das Problem mit narcisa.",German
"Sie hielt sich für zu groß, um irgendeine Arbeit zu verrichten.",German
"Viele Freier kamen, um in der Ehe um Narzissenhand zu bitten.",German
"Da ihre Schönheit weit und breit bekannt war, aber sie alle sehr grob zurückwies, warum hast du diese Männer gestern weggeschickt?",German
Sie schienen nett zu sein.,German
"Du kannst es nicht ernst meinen, Mutter eine von ihnen.",German
"hatte so kleine Augen fast wie die eines Vogels und der andere hatte eine riesige Nase, ich würde nicht in seiner Nähe sein wollen.",German
"Als er nieste, oh oh und die letzte Station, nein, ich will nicht mehr hören, alles was ich sehen konnte war, dass diese Männer wirklich nett waren, meine Liebe, du musst diese Schönheit kennen.",German
"ist nicht alles Mutter, die du erkennen musst, dass ich jemanden wie einen Prinzen oder einen Ritter verdiene.",German
"Oh je, eines Nachts, als sie schlief, saß ihre Mutter an ihrer Seite und beobachtete sie.",German
"Mein liebes Kind, du bist so schön und lieblich, aber dir ist nichts anderes wichtig als deine Schönheit.",German
In diesem Moment begann Narzisse im Schlaf zu lachen.,German
"Ihre Mutter war äußerst überrascht, wie schön sie sein musste, als Narzisse am nächsten Morgen einen wirklich lustigen Traum hatte.",German
"Ich bin aufgewacht, sie hat alle gelächelt und hier gekichert, Schatz, sag mir, wovon hast du geträumt?",German
"Letzte Nacht, Mama, es war so ein erstaunlicher Traum, dass du weißt, dass dieser Prinz auf mich zukam.",German
"und sagte, dass er mich heiraten wollte, er war in einem goldenen Wagen gekommen und er war von oben bis unten gekleidet und auch gold, was für ein dummer Traum.",German
"und du weißt, das Beste daran war, als ich in meinem Hochzeitskleid war, das natürlich auch aus Gold war.",German
Natürlich starrten alle nur mich an.,German
"Narcisa, an diesem Traum ist nichts Erstaunliches.",German
"Es war eine sehr egoistische Traummutter, du weißt nicht, was du sagst.",German
"Dieser Traum hat mir klar gemacht, dass ich Essen brauche, das viel größer ist als die Art, die ich hier zu Hause esse.",German
Brot aus Gold.,German
"Denken Sie nur an diese arme Narzissenmutter, die so besorgt um ihre Tochter war und wie.",German
"Sie würde ihr Leben an dem Tag leben, an dem zwei Freunde kamen, um Narzissenmutter zu besuchen.",German
Sie waren Mellie und Terry.,German
"Die drei waren seit Ewigkeiten Freunde, aber Terry und Ellie hatten beide ein Geheimnis.",German
"Waren magische Wesen etwas, von dem Narcisses Mutter nichts über Terry Melli wusste?",German
"Oh, es ist so schön, dich zu sehen, es ist schon sehr lange her.",German
Wie war es dir?,German
Ich war sehr gut.,German
"Ich wäre besser gewesen, wenn nur was wäre, wenn nur meine Tochter Narcisa etwas verständnisvoller wäre.",German
"Marian erzählte Mellie und Terry alles über Narcisa und wie sie sich Sorgen um sie machte, die sie essen möchte Brot aus Gold Was mache ich mit ihr gut, vielleicht wenn ihr Traum wahr wird?",German
"das wäre wunderbar, wäre es nicht gut, egal ich denke mit der Zeit wird sie wachsen, um zu lernen, lass uns über etwas anderes reden.",German
"Jetzt später winkten Mellie und Terry ihrem alten Freund zum Abschied und gingen weg und lächelten sich in dieser Nacht heimlich an, Mutter und Tochter.",German
"Ich hoffe, mein Traum wird wahr, du weißt, oh Narcisa am nächsten Tag, als Narcisa und ihre Mutter draußen in ihrem Garten wunderschön waren.",German
Der goldene Wagen kam auf sie zugeritten.,German
Er war mit Edelsteinen und Diamanten besetzt und sah äußerst atemberaubend aus.,German
"Als es aufhörte, kam ein gutaussehender Mann heraus und sah Narcisa an.",German
"Sie war völlig überrascht, wie gutaussehend er war, mein Traum wird tatsächlich wahr, ähm.",German
"Was für ein Hallo, ich bin hierher gekommen, um nach Narzissenhand in der Ehe zu fragen, aber woher kennst du ihren Namen und wer bist du?",German
"Ich bin schrecklich, der Engel des Glücks.",German
Der Name und die Schönheit Ihrer Tochter sind auf der ganzen Welt bekannt.,German
"Ich habe Ihnen ein Geschenk gebracht, aber Sie kennen ihn kaum.",German
Sie können nicht mit ihm gehen.,German
"Oh dumm, er ist reich und gutaussehend.",German
Was will ich mehr?,German
Ich akzeptiere deinen Vorschlag.,German
"und damit stieg sie in seinen Wagen und ohne sich von ihrer Mutter zu verabschieden, ritt sie mit dem Engel davon, als sie unterwegs waren.",German
"Der Wagen betrat plötzlich ein magisches Portal, das durch ein stürmisches Gebiet fuhr.",German
Der Wagen rumpelte gewaltig herum und Narzissa.,German
"Ich war sehr verängstigt, mach dir keine Sorgen, mein Lieber.",German
"All dies wird bald vorbei sein, als er sagte, dass der Wagen durch ein anderes Portal fuhr und die Auffahrt erreichte.",German
"Von einem riesigen und prächtigen goldenen Schloss war Narcisa erstaunt über die Schönheit, die sie sah.",German
"Ich wusste, dass ich so viele Reichtümer verdiene.",German
"Ich wusste, dass Sie es mögen würden.",German
"Alles, was Sie wollen, finden Sie hier, von den schönsten Kleidern bis zu den leckersten Lebensmitteln In meinem Palast, wo ich gerade von Essen spreche, bin ich nach dieser Fahrt wirklich hungrig.",German
Ich bin am Verhungern.,German
Kann ich irgendetwas von diesem leckeren Essen hier haben?,German
Fleisch stinkt nach Melissa.,German
"Sie wird dir alles besorgen, was du willst.",German
"Ich habe so viel über dich gehört Ich hole dir etwas zu essen, oh danke, sie gingen ins Esszimmer und dort auf dem Tisch war das erstaunlichste Essen, das Narcisa jemals erstaunlich gesehen hatte, weil es die Marmeladen sind, die gemacht wurden.",German
"Von Rubinen sind die Salate von Smaragden und das Brot dort drüben aus goldgoldenem Brot, wie schön diese Marmelade mit dem Brot aussehen und schmecken wird, mit dem sie eine Scheibe genommen hat.",German
"Rubinmarmelade darauf und nahm einen großen Bissen das ist so heiß, dass ich nicht so gut essen kann, es ist Brot aus Gold und das feinste auch, aber wenn du es nicht essen kannst, sollte ich dir Silberbrot Silber holen, huh warum nicht du isst.",German
"etwas anderes, aber ich möchte normales Brotbrot, das ich essen kann.",German
Siehst du nicht so aus wie die zukünftige Frau meines Vaters?,German
Es ist kalt.,German
"Du musst nur die besten Narzissen essen, die ich mir bei all dem Essen angesehen habe.",German
"aber war mit gebrochenem Herzen für alles, was dort ungenießbar war.",German
Sie fing bald an zu weinen.,German
"Ich will das nicht, aber das Essen ist wirklich gut.",German
"Hier probieren Sie ein paar goldene Kartoffeln, sie sind wirklich gut und nachdem Sie mit mir verheiratet sind.",German
Du musst das alles essen.,German
"Ich dachte, du magst ausgefallene Dinge.",German
"Nein, ich will dich nicht heiraten.",German
Ich will nach Hause gehen.,German
zu meiner Mutter lass mich nach Hause gehen Melissa und Terrence sahen sich an und zwinkerten gut.,German
"Wenn es wirklich das ist, was du willst, dann bringe ich dich nach Hause.",German
Angst nahm das Weinen und Unglück.,German
"Narcis zu Hause in der Kutsche begann sie tief über die Entscheidungen nachzudenken, die sie getroffen hatte, als sie zu Hause ankam.",German
"Sie rannte, um ihre Mutter zu umarmen, die traurig im Haus saß, noch die Schwester meiner süßen Tochter.",German
"Ich dachte, ich würde dich nie wieder sehen.",German
"Oh Mama, ich liebe dich so sehr und du hattest rechtes Aussehen und Reichtum ist nicht alles, was das Goldbrot nutzlos war, da ich es und den Mann nicht essen konnte.",German
"Er war gutaussehend, er hat sich überhaupt nicht um mich gekümmert, aber mein Lieber, weißt du, dass du genau so mit anderen umgegangen bist?",German
"Ich weiß, dass es mir so leid tut, wie ich mich verhalten habe, Mama.",German
"Oh nein, es ist in Ordnung, seit du es gesehen hast.",German
"Was dein Fehler war, lass uns dir von diesem Tag an etwas Schönes geben.",German
"narcisa änderte ihre art und weise sie kämpfte zuerst, aber langsam und geduldig wurde sie eines tages viel netter mellie und terry kamen marian wieder entgegen oh hallo ihr zwei, also sag uns marian.",German
"Wie' s Narzissmus jetzt erzählt Marian beiden alles, was passiert war und sie hat sich seit dieser Zeit so sehr verändert.",German
"Hat sie, ich denke, sie würde jetzt kein Goldbrot mehr wollen, oder?",German
"Terry, du siehst tatsächlich ein bisschen wie dieser Engel aus, aber was sehe ich, wie könntest du er sein?",German
Ihr zwei seid so nett,German
